Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Students Count ___ ______
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,528
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,_____,Nursery,____,Female,_______,Emirati,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,_____,Nursery,____,Female,____,Resident,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,_____,Nursery,___,Male,____,Resident,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ ____,KG1,____,Female,_______,Emirati,48
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ ____,KG1,____,Female,____,Resident,147
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ ____,KG1,___,Male,_______,Emirati,48
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ ____,KG1,___,Male,____,Resident,148
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ _____,KG2,____,Female,_______,Emirati,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ _____,KG2,____,Female,____,Resident,220
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ _____,KG2,___,Male,_______,Emirati,44
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,KGs,____ _____,KG2,___,Male,____,Resident,255
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,40
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,265
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,273
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,38
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,291
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,45
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,317
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,48
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,230
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,45
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,299
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,53
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,269
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,54
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,312
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,30
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,238
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,35
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,243
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,49
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,280
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,54
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,294
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,29
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,273
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,233
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,37
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,242
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,38
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,254
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,42
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,239
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,35
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,251
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,44
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,226
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,36
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,246
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,31
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,220
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,233
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,46
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,251
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,39
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,229
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ ____,KG1,____,Female,_______,Emirati,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ ____,KG1,____,Female,____,Resident,245
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ ____,KG1,___,Male,_______,Emirati,14
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ ____,KG1,___,Male,____,Resident,289
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ _____,KG2,____,Female,_______,Emirati,16
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ _____,KG2,____,Female,____,Resident,614
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ _____,KG2,___,Male,_______,Emirati,14
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,KGs,____ _____,KG2,___,Male,____,Resident,604
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,939
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,22
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,904
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,881
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,26
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,865
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,15
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,900
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,32
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,894
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,23
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,916
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,39
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,936
