Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Staff Count ___ ______ _______,Teachers Count ___ ________
2024-2025,_______ ________,Public,_____,AJMAN,___,Male,_______,Emirati,32,6
2024-2025,_______ ________,Public,_____,AJMAN,___,Male,____,Resident,334,314
2024-2025,_______ ________ - _____,Public Ajyal,_____,AJMAN,____,Female,_______,Emirati,38,32
2024-2025,_______ ________ - _____,Public Ajyal,_____,AJMAN,____,Female,____,Resident,109,89
2024-2025,_______ ________ - _____,Public Ajyal,_____,AJMAN,___,Male,____,Resident,20,14
2023-2024,_______ ________,Public,______,ABU DHABI,____,Female,_______,Emirati,2759,1966
2023-2024,_______ ________,Public,______,ABU DHABI,____,Female,____,Resident,1517,1472
2023-2024,_______ ________,Public,______,ABU DHABI,___,Male,_______,Emirati,383,195
2023-2024,_______ ________,Public,______,ABU DHABI,___,Male,____,Resident,1107,993
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,_______,Emirati,308,201
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,____,Resident,112,112
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,_______,Emirati,9,2
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,____,Resident,113,105
2023-2024,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____,Female,_______,Emirati,8,7
2023-2024,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____,Female,____,Resident,33,30
2023-2024,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,___,Male,____,Resident,7,6
2023-2024,_______ ________,Public,_______,SHARJAH,____,Female,_______,Emirati,1020,674
2023-2024,_______ ________,Public,_______,SHARJAH,____,Female,____,Resident,610,592
2023-2024,_______ ________,Public,_______,SHARJAH,___,Male,_______,Emirati,61,12
2023-2024,_______ ________,Public,_______,SHARJAH,___,Male,____,Resident,527,499
2023-2024,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____,Female,_______,Emirati,23,20
2023-2024,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____,Female,____,Resident,80,66
2023-2024,_______ ________ - _____,Public Ajyal,_______,SHARJAH,___,Male,____,Resident,15,12
2023-2024,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,855,608
2023-2024,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,151,150
2023-2024,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,_______,Emirati,86,24
2023-2024,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,279,277
2023-2024,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,30,28
2023-2024,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,76,67
2023-2024,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,20,11
2023-2024,_______ ________,Public,______,AL DHAFRA,____,Female,_______,Emirati,296,155
2023-2024,_______ ________,Public,______,AL DHAFRA,____,Female,____,Resident,545,506
2023-2024,_______ ________,Public,______,AL DHAFRA,___,Male,_______,Emirati,12,3
2023-2024,_______ ________,Public,______,AL DHAFRA,___,Male,____,Resident,380,335
2023-2024,_______ ________,Public,_____,AL AIN,____,Female,_______,Emirati,3136,2199
2023-2024,_______ ________,Public,_____,AL AIN,____,Female,____,Resident,1331,1306
2023-2024,_______ ________,Public,_____,AL AIN,___,Male,_______,Emirati,339,162
2023-2024,_______ ________,Public,_____,AL AIN,___,Male,____,Resident,1080,1007
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____,Female,_______,Emirati,1319,995
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____,Female,____,Resident,271,266
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,___,Male,_______,Emirati,61,20
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,___,Male,____,Resident,347,338
2023-2024,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,____,Female,_______,Emirati,32,29
2023-2024,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,____,Female,____,Resident,60,53
2023-2024,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,___,Male,____,Resident,10,7
2023-2024,_______ ________,Public,___,DUBAI,____,Female,_______,Emirati,965,651
2023-2024,_______ ________,Public,___,DUBAI,____,Female,____,Resident,654,639
2023-2024,_______ ________,Public,___,DUBAI,___,Male,_______,Emirati,48,18
2023-2024,_______ ________,Public,___,DUBAI,___,Male,____,Resident,513,493
2023-2024,_______ ________ - _____,Public Ajyal,___,DUBAI,____,Female,_______,Emirati,39,36
2023-2024,_______ ________ - _____,Public Ajyal,___,DUBAI,____,Female,____,Resident,144,124
2023-2024,_______ ________ - _____,Public Ajyal,___,DUBAI,___,Male,_______,Emirati,1,1
2023-2024,_______ ________ - _____,Public Ajyal,___,DUBAI,___,Male,____,Resident,35,27
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,1745,1213
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,____,Resident,395,388
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,106,30
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,____,Resident,582,572
2023-2024,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,54,43
2023-2024,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,____,Female,____,Resident,128,108
2023-2024,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,___,Male,____,Resident,40,26
2023-2024,_______ ________,Public,_____,AJMAN,____,Female,_______,Emirati,612,411
2023-2024,_______ ________,Public,_____,AJMAN,____,Female,____,Resident,318,302
2023-2024,_______ ________,Public,_____,AJMAN,___,Male,_______,Emirati,24,6
2023-2024,_______ ________,Public,_____,AJMAN,___,Male,____,Resident,315,296
2023-2024,_______ ________ - _____,Public Ajyal,_____,AJMAN,____,Female,_______,Emirati,32,30
2023-2024,_______ ________ - _____,Public Ajyal,_____,AJMAN,____,Female,____,Resident,129,110
2023-2024,_______ ________ - _____,Public Ajyal,_____,AJMAN,___,Male,____,Resident,21,15
2022-2023,_______ ________,Public,______,ABU DHABI,____,Female,_______,Emirati,2740,2015
2022-2023,_______ ________,Public,______,ABU DHABI,____,Female,____,Resident,1443,1418
2022-2023,_______ ________,Public,______,ABU DHABI,___,Male,_______,Emirati,342,174
2022-2023,_______ ________,Public,______,ABU DHABI,___,Male,____,Resident,1033,941
2022-2023,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,_______,Emirati,312,210
2022-2023,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,____,Resident,109,109
2022-2023,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,_______,Emirati,8,3
2022-2023,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,____,Resident,112,106
2022-2023,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____,Female,_______,Emirati,9,8
2022-2023,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____,Female,____,Resident,27,20
2022-2023,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,___,Male,____,Resident,5,5
2022-2023,_______ ________,Public,_______,SHARJAH,____,Female,_______,Emirati,1052,712
2022-2023,_______ ________,Public,_______,SHARJAH,____,Female,____,Resident,559,543
2022-2023,_______ ________,Public,_______,SHARJAH,___,Male,_______,Emirati,64,14
2022-2023,_______ ________,Public,_______,SHARJAH,___,Male,____,Resident,501,476
2022-2023,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____,Female,_______,Emirati,12,11
2022-2023,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____,Female,____,Resident,31,24
2022-2023,_______ ________ - _____,Public Ajyal,_______,SHARJAH,___,Male,____,Resident,4,4
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,905,674
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,153,150
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,_______,Emirati,90,36
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,274,272
2022-2023,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,13,12
2022-2023,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,20,17
2022-2023,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,7,5
2022-2023,_______ ________,Public,______,AL DHAFRA,____,Female,_______,Emirati,258,138
2022-2023,_______ ________,Public,______,AL DHAFRA,____,Female,____,Resident,474,440
2022-2023,_______ ________,Public,______,AL DHAFRA,___,Male,_______,Emirati,11,2
2022-2023,_______ ________,Public,______,AL DHAFRA,___,Male,____,Resident,332,296
2022-2023,_______ ________,Public,_____,AL AIN,____,Female,_______,Emirati,3169,2304
2022-2023,_______ ________,Public,_____,AL AIN,____,Female,____,Resident,1285,1268
2022-2023,_______ ________,Public,_____,AL AIN,___,Male,_______,Emirati,343,168
