Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Staff Count ___ ______ _______,Teachers Count ___ ________
2020-2021,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,___,Male,____,Resident,1,0
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,_______,Emirati,5,0
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,____,Resident,4,1
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,___,Male,_______,Emirati,3,0
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,___,Male,____,Resident,2,2
2020-2021,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,1,0
2020-2021,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,____,Resident,2,0
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,____,Female,_______,Emirati,4,2
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,____,Female,____,Resident,24,22
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,_______,Emirati,76,55
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,____,Resident,3,2
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,_______,Emirati,9,7
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,____,Resident,21,20
2021-2022,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,____,Resident,1,0
2021-2022,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,_______,Emirati,1,1
2021-2022,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,____,Resident,1,0
2021-2022,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,_______,Emirati,1,0
2021-2022,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,____,Resident,1,0
2021-2022,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,____,Female,_______,Emirati,1,0
2021-2022,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,___,Male,_______,Emirati,4,0
2021-2022,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,_______,Emirati,2,0
2021-2022,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,____,Resident,1,0
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,1,0
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,____,Resident,2,0
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____,Female,_______,Emirati,1,0
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____,Female,____,Resident,1,0
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,_______,Emirati,64,53
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,____,Resident,8,4
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,_______,Emirati,12,8
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,____,Resident,17,17
2022-2023,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,0
2022-2023,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,____,Resident,1,0
2022-2023,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,____,Resident,1,0
2022-2023,_____ _______ _______,Continuous Education,______,AL DHAFRA,____,Female,____,Resident,1,0
2022-2023,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,_______,Emirati,1,0
2022-2023,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,____,Resident,1,0
2022-2023,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,___,Male,_______,Emirati,2,0
2022-2023,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,____,Resident,1,0
2022-2023,_____ _______ _______,Continuous Education,___,DUBAI,___,Male,_______,Emirati,1,0
2022-2023,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,____,Resident,1,0
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,_______,Emirati,63,51
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,____,Resident,3,0
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,_______,Emirati,12,7
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,____,Resident,12,12
2023-2024,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,____,Resident,1,0
2023-2024,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,____,Resident,1,0
2023-2024,_____ _______ _______,Continuous Education,______,AL DHAFRA,____,Female,____,Resident,1,0
2023-2024,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,_______,Emirati,1,0
2023-2024,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,____,Resident,1,0
2023-2024,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,___,Male,_______,Emirati,2,0
2023-2024,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,____,Resident,1,0
2023-2024,_____ _______ _______,Continuous Education,___,DUBAI,___,Male,_______,Emirati,1,0
2023-2024,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,____,Resident,1,0
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,_______,Emirati,61,52
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,____,Resident,6,2
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,_______,Emirati,11,6
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,____,Resident,17,16
2024-2025,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,0
2024-2025,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,____,Resident,1,0
2024-2025,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,____,Resident,1,0
2024-2025,_____ _______ _______,Continuous Education,______,AL DHAFRA,____,Female,____,Resident,1,0
2024-2025,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,_______,Emirati,1,0
2024-2025,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,____,Resident,1,0
2024-2025,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,____,Female,_______,Emirati,1,0
2024-2025,_____ _______ _______,Continuous Education,___,DUBAI,____,Female,____,Resident,1,0
2024-2025,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____,Female,____,Resident,1,0
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,_______,Emirati,54,11
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,____,Resident,327,300
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,_______,Emirati,6,4
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,____,Resident,345,322
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,_______,Emirati,5,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,____,Resident,14,14
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,_______,Emirati,5,2
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,____,Resident,44,37
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,_______,Emirati,11,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,____,Resident,11,10
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,_______,Emirati,4,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,____,Resident,59,56
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,_______,Emirati,10,6
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,____,Resident,36,36
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,_______,Emirati,2,0
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,____,Resident,31,28
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,_______,Emirati,5,0
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,____,Resident,14,8
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,_______,Emirati,3,0
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,____,Resident,65,59
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,_______,Emirati,8,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,____,Resident,11,11
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,_______,Emirati,4,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,____,Resident,71,66
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,_______,Emirati,21,8
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,____,Resident,71,69
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,_______,Emirati,3,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,____,Resident,47,39
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,_______,Emirati,11,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,____,Resident,2187,1638
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,_______,Emirati,2,0
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,____,Resident,835,614
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,_______,Emirati,24,9
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,____,Resident,1708,1421
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,____,Resident,714,582
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,_______,Emirati,2,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,____,Resident,83,66
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,___,Male,____,Resident,31,23
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,_______,Emirati,3,0
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,____,Resident,1170,835
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,_______,Emirati,1,0
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,____,Resident,667,491
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,_______,Emirati,12,4
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,____,Resident,167,137
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,___,Male,____,Resident,101,83
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,____,Resident,95,75
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,___,Male,____,Resident,36,23
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,_______,Emirati,35,11
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,____,Resident,870,667
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,_______,Emirati,3,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,____,Resident,482,419
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,15,6
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,____,Resident,696,579
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,4,0
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,____,Resident,311,226
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,_______,Emirati,16,4
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,____,Resident,1133,859
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,_______,Emirati,2,0
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,____,Resident,611,394
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,_______,Emirati,48,28
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,____,Resident,991,899
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,_______,Emirati,1,0
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,____,Resident,205,137
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,_______,Emirati,3,1
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,____,Resident,538,422
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,_______,Emirati,1,0
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,____,Resident,128,76
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,32,10
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,____,Resident,1741,1389
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,3,0
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,____,Resident,597,283
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,_______,Emirati,9,2
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,____,Resident,3001,2525
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,_______,Emirati,2,0
2020-2021,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,____,Resident,716,354
2020-2021,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____,Female,_______,Emirati,3,0
2020-2021,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____,Female,____,Resident,5,3
2020-2021,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,___,Male,_______,Emirati,8,2
2020-2021,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,___,Male,____,Resident,43,39
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,_______,Emirati,82,34
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,____,Resident,289,263
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,_______,Emirati,9,7
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,____,Resident,310,287
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,_______,Emirati,6,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,____,Resident,8,8
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,_______,Emirati,3,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,____,Resident,38,31
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,_______,Emirati,11,2
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,____,Resident,11,10
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,_______,Emirati,5,2
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,____,Resident,45,41
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,_______,Emirati,10,6
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,____,Resident,32,31
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,_______,Emirati,2,0
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,____,Resident,23,20
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,_______,Emirati,6,0
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,____,Resident,10,3
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,_______,Emirati,3,0
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,____,Resident,49,42
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,_______,Emirati,11,4
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,____,Resident,4,4
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,_______,Emirati,5,2
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,____,Resident,48,43
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,_______,Emirati,26,10
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,____,Resident,58,57
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,_______,Emirati,2,0
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,____,Resident,41,33
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,_______,Emirati,12,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,____,Resident,2459,1894
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,_______,Emirati,2,0
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,____,Resident,926,702
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,_______,Emirati,40,24
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,____,Resident,2149,1821
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,_______,Emirati,1,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,____,Resident,865,722
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,_______,Emirati,1,0
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,____,Resident,97,82
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,___,Male,____,Resident,42,34
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,_______,Emirati,4,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,____,Resident,1292,930
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,_______,Emirati,2,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,____,Resident,774,565
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,_______,Emirati,16,7
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,____,Resident,205,164
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,___,Male,____,Resident,128,106
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,____,Resident,111,86
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,___,Male,____,Resident,50,34
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,_______,Emirati,28,11
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,____,Resident,878,780
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,_______,Emirati,3,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,____,Resident,537,476
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,14,6
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,____,Resident,795,655
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,4,0
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,____,Resident,383,267
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,_______,Emirati,17,4
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,____,Resident,1500,1166
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,_______,Emirati,2,0
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,____,Resident,707,474
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,_______,Emirati,49,32
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,____,Resident,997,908
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,_______,Emirati,1,0
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,____,Resident,201,135
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,_______,Emirati,2,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,____,Resident,524,406
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,_______,Emirati,1,0
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,____,Resident,138,77
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,23,7
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,____,Resident,1623,1284
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,2,0
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,____,Resident,549,259
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,_______,Emirati,9,5
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,____,Resident,2809,2359
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,_______,Emirati,1,0
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,____,Resident,671,322
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____,Female,_______,Emirati,1,0
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,___,Male,_______,Emirati,5,2
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,___,Male,____,Resident,28,26
