Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2015-2016 : Spring,Abu Dhabi University,Female,National,113
2015-2016 : Spring,Abu Dhabi University,Female,Non-National,189
2016-2017 : Fall,Abu Dhabi University,Female,National,253
2016-2017 : Spring,Abu Dhabi University,Female,National,161
2017-2018 : Fall,Abu Dhabi University,Female,National,235
2017-2018 : Spring,Abu Dhabi University,Female,National,115
2017-2018 : Spring,Abu Dhabi University,Female,Non-National,283
2018-2019 : Fall,Abu Dhabi University,Female,National,233
2018-2019 : Fall,Abu Dhabi University,Female,Non-National,736
2018-2019 : Spring,Abu Dhabi University,Female,National,135
2018-2019 : Spring,Abu Dhabi University,Female,Non-National,235
2018-2019 : Summer 1,Abu Dhabi University,Female,National,26
2018-2019 : Summer 1,Abu Dhabi University,Female,Non-National,9
2018-2019 : Winter,Abu Dhabi University,Female,National,46
2018-2019 : Winter,Abu Dhabi University,Female,Non-National,62
2019-2020 : Fall,Abu Dhabi University,Female,National,345
2019-2020 : Spring,Abu Dhabi University,Female,National,115
2019-2020 : Spring,Abu Dhabi University,Female,Non-National,193
2019-2020 : Summer 1,Abu Dhabi University,Female,National,96
2019-2020 : Summer 1,Abu Dhabi University,Female,Non-National,31
2019-2020 : Winter,Abu Dhabi University,Female,National,76
2020-2021 : Fall,Abu Dhabi University,Female,National,449
2020-2021 : Spring,Abu Dhabi University,Female,National,194
2020-2021 : Spring,Abu Dhabi University,Female,Non-National,131
2020-2021 : Summer 1,Abu Dhabi University,Female,National,41
2021-2022 : Fall,Abu Dhabi University,Female,National,254
2021-2022 : Spring,Abu Dhabi University,Female,Non-National,124
2021-2022 : Summer 1,Abu Dhabi University,Female,National,19
2021-2022 : Summer 1,Abu Dhabi University,Female,Non-National,18
2021-2022 : Winter,Abu Dhabi University,Female,National,88
2021-2022 : Winter,Abu Dhabi University,Female,Non-National,68
2012-2013 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,9
2013-2014 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,47
2013-2014 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,11
2014-2015 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,147
2014-2015 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,3
2015-2016 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,8
2015-2016 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,National,56
2016-2017 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,190
2017-2018 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,119
2018-2019 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,National,186
2018-2019 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,3
2019-2020 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,14
2019-2020 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,7
2020-2021 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,15
2020-2021 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,National,406
2020-2021 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,10
2012-2013 : Fall,Ajman University,Female,National,269
2012-2013 : Fall,Ajman University,Female,Non-National,866
2012-2013 : Spring,Ajman University,Female,National,106
2012-2013 : Spring,Ajman University,Female,Non-National,263
2013-2014 : Spring,Ajman University,Female,National,79
2014-2015 : Spring,Ajman University,Female,National,93
2015-2016 : Fall,Ajman University,Female,National,186
2015-2016 : Spring,Ajman University,Female,National,104
2015-2016 : Spring,Ajman University,Female,Non-National,122
2016-2017 : Fall,Ajman University,Female,Non-National,722
2016-2017 : Spring,Ajman University,Female,Non-National,151
2018-2019 : Fall,Ajman University,Female,Non-National,725
2018-2019 : Spring,Ajman University,Female,Non-National,119
2019-2020 : Fall,Ajman University,Female,National,141
2019-2020 : Fall,Ajman University,Female,Non-National,673
2019-2020 : Spring,Ajman University,Female,National,35
2019-2020 : Spring,Ajman University,Female,Non-National,82
2020-2021 : Fall,Ajman University,Female,National,124
2021-2022 : Spring,Ajman University,Female,National,33
2021-2022 : Spring,Ajman University,Female,Non-National,75
2021-2022 : Summer 1,Ajman University,Female,Non-National,1
2022-2023 : Fall,Ajman University,Female,National,150
2022-2023 : Fall,Ajman University,Female,Non-National,569
2022-2023 : Spring,Ajman University,Female,National,50
2012-2013 : Fall,Al Ain University of Science and Technology,Female,National,195
2012-2013 : Spring,Al Ain University of Science and Technology,Female,National,106
2012-2013 : Spring,Al Ain University of Science and Technology,Female,Non-National,136
2015-2016 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,120
2015-2016 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,6
2016-2017 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,3
2016-2017 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,National,138
2016-2017 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,34
2017-2018 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,88
2018-2019 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,380
2018-2019 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,Non-National,10
2019-2020 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,501
2019-2020 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,National,249
2020-2021 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,448
2013-2014 : Fall,Ajman University,Female,National,249
2013-2014 : Fall,Ajman University,Female,Non-National,883
2013-2014 : Spring,Ajman University,Female,Non-National,265
2014-2015 : Fall,Ajman University,Female,National,238
2014-2015 : Fall,Ajman University,Female,Non-National,947
2014-2015 : Spring,Ajman University,Female,Non-National,234
2015-2016 : Fall,Ajman University,Female,Non-National,595
2016-2017 : Fall,Ajman University,Female,National,246
2016-2017 : Spring,Ajman University,Female,National,103
2017-2018 : Fall,Ajman University,Female,National,179
2017-2018 : Fall,Ajman University,Female,Non-National,639
2017-2018 : Spring,Ajman University,Female,National,13
2017-2018 : Spring,Ajman University,Female,Non-National,49
2018-2019 : Fall,Ajman University,Female,National,228
2018-2019 : Spring,Ajman University,Female,National,56
2020-2021 : Fall,Ajman University,Female,Non-National,498
2020-2021 : Spring,Ajman University,Female,National,31
2020-2021 : Spring,Ajman University,Female,Non-National,104
2021-2022 : Fall,Ajman University,Female,National,154
2021-2022 : Fall,Ajman University,Female,Non-National,521
2022-2023 : Spring,Ajman University,Female,Non-National,110
2012-2013 : Fall,Al Ain University of Science and Technology,Female,Non-National,459
2014-2015 : Fall,Al Ain University of Science and Technology,Female,National,220
2014-2015 : Spring,Al Ain University of Science and Technology,Female,National,215
2014-2015 : Spring,Al Ain University of Science and Technology,Female,Non-National,155
2015-2016 : Fall,Al Ain University of Science and Technology,Female,Non-National,393
2015-2016 : Spring,Al Ain University of Science and Technology,Female,National,198
2015-2016 : Spring,Al Ain University of Science and Technology,Female,Non-National,126
