Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2020-2021 : Fall,Emirates Aviation University,Female,National,20
2021-2022 : Summer 1,Emirates Aviation University,Female,Non-National,3
2022-2023 : Fall,Emirates Aviation University,Female,National,17
2022-2023 : Fall,Emirates Aviation University,Female,Non-National,38
2022-2023 : Spring,Emirates Aviation University,Female,National,21
2013-2014 : Fall,Emirates Canadian University College,Female,Non-National,22
2014-2015 : Spring,Emirates Canadian University College,Female,Non-National,14
2015-2016 : Fall,Emirates Canadian University College,Female,Non-National,25
2016-2017 : Fall,Emirates Canadian University College,Female,Non-National,18
2016-2017 : Spring,Emirates Canadian University College,Female,Non-National,8
2017-2018 : Fall,Emirates Canadian University College,Female,Non-National,18
2017-2018 : Summer 1,Emirates Canadian University College,Female,National,1
2018-2019 : Fall,Emirates Canadian University College,Female,Non-National,3
2018-2019 : Summer 1,Emirates Canadian University College,Female,National,6
2019-2020 : Fall,Emirates Canadian University College,Female,Non-National,2
2019-2020 : Spring,Emirates Canadian University College,Female,National,3
2019-2020 : Summer 2,Emirates Canadian University College,Female,National,3
2020-2021 : Fall,Emirates Canadian University College,Female,Non-National,4
2020-2021 : Summer 1,Emirates Canadian University College,Female,Non-National,1
2020-2021 : Summer 2,Emirates Canadian University College,Female,National,4
2021-2022 : Fall,Emirates Canadian University College,Female,Non-National,3
2021-2022 : Spring,Emirates Canadian University College,Female,National,9
2021-2022 : Spring,Emirates Canadian University College,Female,Non-National,4
2021-2022 : Summer 1,Emirates Canadian University College,Female,National,2
2022-2023 : Fall,Emirates Canadian University College,Female,National,19
2022-2023 : Fall,Emirates Canadian University College,Female,Non-National,11
2022-2023 : Spring,Emirates Canadian University College,Female,National,19
2022-2023 : Spring,Emirates Canadian University College,Female,Non-National,3
2012-2013 : Fall,Emirates College for Advanced Education,Female,National,63
2012-2013 : Fall,Emirates College for Advanced Education,Female,Non-National,19
2013-2014 : Spring,Emirates College for Advanced Education,Female,Non-National,6
2014-2015 : Spring,Emirates College for Advanced Education,Female,National,6
2015-2016 : Fall,Emirates College for Advanced Education,Female,National,146
2015-2016 : Fall,Emirates College for Advanced Education,Female,Non-National,21
2015-2016 : Spring,Emirates College for Advanced Education,Female,National,7
2018-2019 : Spring,Emirates College for Advanced Education,Female,Non-National,1
2020-2021 : Fall,Emirates College for Advanced Education,Female,National,30
2021-2022 : Fall,Emirates College for Advanced Education,Female,National,49
2012-2013 : Fall,Emirates College for Management & Information Technology,Female,National,2
2012-2013 : Fall,Emirates College for Management & Information Technology,Female,Non-National,4
2012-2013 : Spring,Emirates College for Management & Information Technology,Female,National,4
2012-2013 : Spring,Emirates College for Management & Information Technology,Female,Non-National,6
2014-2015 : Spring,Emirates College for Management & Information Technology,Female,National,7
2014-2015 : Spring,Emirates College for Management & Information Technology,Female,Non-National,9
2016-2017 : Fall,Emirates College for Management & Information Technology,Female,Non-National,2
2016-2017 : Spring,Emirates College for Management & Information Technology,Female,Non-National,4
2012-2013 : Fall,Emirates College of Technology,Female,National,85
2012-2013 : Spring,Emirates College of Technology,Female,National,68
2013-2014 : Fall,Emirates College of Technology,Female,National,142
2013-2014 : Fall,Emirates College of Technology,Female,Non-National,69
2013-2014 : Spring,Emirates College of Technology,Female,National,116
2013-2014 : Spring,Emirates College of Technology,Female,Non-National,36
2014-2015 : Fall,Emirates College of Technology,Female,National,144
2014-2015 : Fall,Emirates College of Technology,Female,Non-National,76
2014-2015 : Spring,Emirates College of Technology,Female,National,70
2014-2015 : Spring,Emirates College of Technology,Female,Non-National,42
2015-2016 : Fall,Emirates College of Technology,Female,National,86
2015-2016 : Fall,Emirates College of Technology,Female,Non-National,65
2015-2016 : Spring,Emirates College of Technology,Female,Non-National,47
2016-2017 : Fall,Emirates College of Technology,Female,National,165
2016-2017 : Fall,Emirates College of Technology,Female,Non-National,59
2016-2017 : Spring,Emirates College of Technology,Female,Non-National,32
2017-2018 : Fall,Emirates College of Technology,Female,National,39
2017-2018 : Fall,Emirates College of Technology,Female,Non-National,97
2017-2018 : Summer 1,Emirates College of Technology,Female,National,13
2018-2019 : Spring,Emirates College of Technology,Female,National,35
2018-2019 : Spring,Emirates College of Technology,Female,Non-National,18
2019-2020 : Fall,Emirates College of Technology,Female,National,38
2019-2020 : Fall,Emirates College of Technology,Female,Non-National,40
2019-2020 : Spring,Emirates College of Technology,Female,National,40
2019-2020 : Spring,Emirates College of Technology,Female,Non-National,32
2019-2020 : Summer 1,Emirates College of Technology,Female,National,23
2019-2020 : Summer 2,Emirates College of Technology,Female,National,9
2019-2020 : Summer 2,Emirates College of Technology,Female,Non-National,1
2020-2021 : Fall,Emirates College of Technology,Female,National,47
2020-2021 : Fall,Emirates College of Technology,Female,Non-National,20
2020-2021 : Spring,Emirates College of Technology,Female,National,50
2020-2021 : Spring,Emirates College of Technology,Female,Non-National,14
2020-2021 : Summer 1,Emirates College of Technology,Female,Non-National,5
2020-2021 : Summer 2,Emirates College of Technology,Female,National,17
2021-2022 : Fall,Emirates College of Technology,Female,Non-National,14
2021-2022 : Summer 2,Emirates College of Technology,Female,National,4
2019-2020 : Fall,Emirates College for Advanced Education,Female,National,27
2019-2020 : Fall,Emirates College for Advanced Education,Female,Non-National,2
2019-2020 : Spring,Emirates College for Advanced Education,Female,National,6
2019-2020 : Spring,Emirates College for Advanced Education,Female,Non-National,1
2020-2021 : Fall,Emirates College for Advanced Education,Female,Non-National,5
2021-2022 : Summer 1,Emirates College for Advanced Education,Female,National,22
2021-2022 : Summer 1,Emirates College for Advanced Education,Female,Non-National,1
2022-2023 : Fall,Emirates College for Advanced Education,Female,National,21
2022-2023 : Fall,Emirates College for Advanced Education,Female,Non-National,3
2013-2014 : Fall,Emirates College for Management & Information Technology,Female,National,4
2013-2014 : Fall,Emirates College for Management & Information Technology,Female,Non-National,12
2013-2014 : Spring,Emirates College for Management & Information Technology,Female,National,5
2013-2014 : Spring,Emirates College for Management & Information Technology,Female,Non-National,7
2014-2015 : Fall,Emirates College for Management & Information Technology,Female,National,4
2014-2015 : Fall,Emirates College for Management & Information Technology,Female,Non-National,11
2016-2017 : Fall,Emirates College for Management & Information Technology,Female,National,6
2016-2017 : Spring,Emirates College for Management & Information Technology,Female,National,9
2012-2013 : Fall,Emirates College of Technology,Female,Non-National,58
2012-2013 : Spring,Emirates College of Technology,Female,Non-National,16
2015-2016 : Spring,Emirates College of Technology,Female,National,89
2016-2017 : Spring,Emirates College of Technology,Female,National,64
2017-2018 : Summer 1,Emirates College of Technology,Female,Non-National,8
2017-2018 : Winter,Emirates College of Technology,Female,National,43
2017-2018 : Winter,Emirates College of Technology,Female,Non-National,31
2018-2019 : Fall,Emirates College of Technology,Female,National,52
2018-2019 : Fall,Emirates College of Technology,Female,Non-National,37
2018-2019 : Summer 1,Emirates College of Technology,Female,National,5
2018-2019 : Summer 1,Emirates College of Technology,Female,Non-National,2
2019-2020 : Summer 1,Emirates College of Technology,Female,Non-National,3
2020-2021 : Summer 1,Emirates College of Technology,Female,National,15
2020-2021 : Summer 2,Emirates College of Technology,Female,Non-National,6
2021-2022 : Fall,Emirates College of Technology,Female,National,38
2021-2022 : Spring,Emirates College of Technology,Female,National,31
2021-2022 : Spring,Emirates College of Technology,Female,Non-National,18
2021-2022 : Summer 1,Emirates College of Technology,Female,National,7
2022-2023 : Spring,Emirates College of Technology,Female,Non-National,7
2022-2023 : Winter,Emirates College of Technology,Female,Non-National,3
2016-2017 : Spring,Emirates Diplomatic Academy,Female,Non-National,9
2020-2021 : Fall,Emirates Diplomatic Academy,Female,Non-National,1
2022-2023 : Fall,Emirates Diplomatic Academy,Female,National,35
2012-2013 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,11
2012-2013 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,32
2012-2013 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,9
2013-2014 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,23
2013-2014 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,134
2021-2022 : Summer 2,Emirates College of Technology,Female,Non-National,7
2022-2023 : Fall,Emirates College of Technology,Female,National,50
2022-2023 : Fall,Emirates College of Technology,Female,Non-National,38
2022-2023 : Spring,Emirates College of Technology,Female,National,41
2022-2023 : Winter,Emirates College of Technology,Female,National,7
2019-2020 : Fall,Emirates Diplomatic Academy,Female,National,34
2020-2021 : Fall,Emirates Diplomatic Academy,Female,National,21
2021-2022 : Fall,Emirates Diplomatic Academy,Female,National,21
2012-2013 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,35
2013-2014 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,125
2015-2016 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,193
2016-2017 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,207
2016-2017 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,45
2017-2018 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,175
2017-2018 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,58
2017-2018 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,176
2018-2019 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,69
2020-2021 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,57
2020-2021 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,67
2021-2022 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,57
2021-2022 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,67
2021-2022 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,22
2021-2022 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,50
2018-2019 : Spring,Emirates Institute for Citizenship and Residence,Female,National,5
2019-2020 : Fall,Emirates Institute for Citizenship and Residence,Female,National,7
2019-2020 : Spring,Emirates Institute for Citizenship and Residence,Female,National,7
2020-2021 : Spring,Emirates Institute for Citizenship and Residence,Female,National,9
2022-2023 : Fall,Emirates Institute for Citizenship and Residence,Female,National,5
2012-2013 : Fall,European International College,Female,Non-National,6
2013-2014 : Fall,European International College,Female,National,2
2014-2015 : Fall,European International College,Female,National,6
2014-2015 : Spring,European International College,Female,National,4
2015-2016 : Spring,European International College,Female,National,1
2015-2016 : Spring,European International College,Female,Non-National,1
2017-2018 : Spring,European International College,Female,National,1
2018-2019 : Fall,European International College,Female,National,1
2018-2019 : Spring,European International College,Female,National,1
2019-2020 : Fall,European International College,Female,National,1
2019-2020 : Spring,European International College,Female,National,1
2012-2013 : Spring,European University College,Female,National,4
2013-2014 : Fall,European University College,Female,National,6
2013-2014 : Fall,European University College,Female,Non-National,18
2015-2016 : Fall,European University College,Female,Non-National,7
2016-2017 : Fall,European University College,Female,National,2
2016-2017 : Spring,European University College,Female,National,1
2013-2014 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,21
2014-2015 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,8
2014-2015 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,92
2014-2015 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,21
2014-2015 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,199
2015-2016 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,24
2015-2016 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,23
2015-2016 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,185
2016-2017 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,28
2016-2017 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,202
2017-2018 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,32
2018-2019 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,156
2018-2019 : Spring,Emirates Institute for Banking and Financial Studies,Female,National,48
2018-2019 : Spring,Emirates Institute for Banking and Financial Studies,Female,Non-National,122
2019-2020 : Fall,Emirates Institute for Banking and Financial Studies,Female,National,65
2019-2020 : Fall,Emirates Institute for Banking and Financial Studies,Female,Non-National,112
2016-2017 : Spring,Emirates Institute for Citizenship and Residence,Female,National,3
2018-2019 : Fall,Emirates Institute for Citizenship and Residence,Female,National,6
2020-2021 : Fall,Emirates Institute for Citizenship and Residence,Female,National,10
2021-2022 : Fall,Emirates Institute for Citizenship and Residence,Female,National,10
2012-2013 : Fall,European International College,Female,National,1
2012-2013 : Spring,European International College,Female,National,1
2012-2013 : Spring,European International College,Female,Non-National,6
2013-2014 : Fall,European International College,Female,Non-National,4
2013-2014 : Spring,European International College,Female,National,3
2013-2014 : Spring,European International College,Female,Non-National,2
2014-2015 : Fall,European International College,Female,Non-National,6
2014-2015 : Spring,European International College,Female,Non-National,2
2015-2016 : Fall,European International College,Female,National,1
2015-2016 : Fall,European International College,Female,Non-National,3
2016-2017 : Fall,European International College,Female,National,2
2016-2017 : Fall,European International College,Female,Non-National,3
2016-2017 : Spring,European International College,Female,National,8
2016-2017 : Spring,European International College,Female,Non-National,7
2017-2018 : Fall,European International College,Female,National,5
2017-2018 : Fall,European International College,Female,Non-National,7
2012-2013 : Fall,European University College,Female,Non-National,3
2012-2013 : Spring,European University College,Female,Non-National,10
2013-2014 : Spring,European University College,Female,National,6
2013-2014 : Spring,European University College,Female,Non-National,8
2014-2015 : Spring,European University College,Female,Non-National,3
2015-2016 : Fall,European University College,Female,National,1
2016-2017 : Fall,European University College,Female,Non-National,2
2016-2017 : Spring,European University College,Female,Non-National,2
2018-2019 : Fall,European University College,Female,Non-National,1
2017-2018 : Fall,European University College,Female,Non-National,2
2018-2019 : Fall,European University College,Female,National,5
2018-2019 : Spring,European University College,Female,National,1
2018-2019 : Spring,European University College,Female,Non-National,4
2013-2014 : Spring,Fatima College Of Health Sciences ,Female,National,23
2013-2014 : Spring,Fatima College Of Health Sciences ,Female,Non-National,2
2014-2015 : Spring,Fatima College Of Health Sciences ,Female,National,37
2014-2015 : Spring,Fatima College Of Health Sciences ,Female,Non-National,38
2015-2016 : Fall,Fatima College Of Health Sciences ,Female,National,208
2015-2016 : Fall,Fatima College Of Health Sciences ,Female,Non-National,92
2015-2016 : Spring,Fatima College Of Health Sciences ,Female,Non-National,35
2017-2018 : Spring,Fatima College Of Health Sciences ,Female,National,46
2019-2020 : Fall,Fatima College Of Health Sciences ,Female,National,288
2019-2020 : Fall,Fatima College Of Health Sciences ,Female,Non-National,57
2019-2020 : Spring,Fatima College Of Health Sciences ,Female,National,65
2019-2020 : Spring,Fatima College Of Health Sciences ,Female,Non-National,18
2020-2021 : Fall,Fatima College Of Health Sciences ,Female,National,867
2020-2021 : Fall,Fatima College Of Health Sciences ,Female,Non-National,96
2020-2021 : Spring,Fatima College Of Health Sciences ,Female,National,77
2021-2022 : Spring,Fatima College Of Health Sciences ,Female,National,57
2021-2022 : Spring,Fatima College Of Health Sciences ,Female,Non-National,3
2022-2023 : Fall,Fatima College Of Health Sciences ,Female,National,184
2022-2023 : Fall,Fatima College Of Health Sciences ,Female,Non-National,62
2012-2013 : Fall,Gulf Medical University,Female,Non-National,104
2013-2014 : Fall,Gulf Medical University,Female,Non-National,123
2013-2014 : Spring,Gulf Medical University,Female,Non-National,9
2014-2015 : Fall,Gulf Medical University,Female,National,9
2014-2015 : Spring,Gulf Medical University,Female,Non-National,3
2015-2016 : Fall,Gulf Medical University,Female,National,8
2015-2016 : Fall,Gulf Medical University,Female,Non-National,145
2016-2017 : Fall,Gulf Medical University,Female,National,16
2016-2017 : Fall,Gulf Medical University,Female,Non-National,167
2017-2018 : Fall,Gulf Medical University,Female,Non-National,210
2018-2019 Full year courses,Gulf Medical University,Female,National,7
2018-2019 Full year courses,Gulf Medical University,Female,Non-National,88
2019-2020 : Fall,Gulf Medical University,Female,Non-National,275
2019-2020 : Spring,Gulf Medical University,Female,Non-National,6
2019-2020 Full year courses,Gulf Medical University,Female,National,4
2020-2021 : Fall,Gulf Medical University,Female,Non-National,276
2020-2021 : Spring,Gulf Medical University,Female,Non-National,8
2021-2022 : Fall,Gulf Medical University,Female,National,43
2022-2023 : Fall,Gulf Medical University,Female,Non-National,318
2022-2023 : Full year courses,Gulf Medical University,Female,National,3
2022-2023 : Full year courses,Gulf Medical University,Female,Non-National,53
2022-2023 : Spring,Gulf Medical University,Female,National,4
2022-2023 : Spring,Gulf Medical University,Female,Non-National,25
2012-2013 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,45
2012-2013 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,24
2013-2014 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,61
2013-2014 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,81
2019-2020 : Fall,European University College,Female,National,4
2019-2020 : Fall,European University College,Female,Non-National,1
2020-2021 : Fall,European University College,Female,National,1
2020-2021 : Fall,European University College,Female,Non-National,3
2013-2014 : Fall,Fatima College Of Health Sciences ,Female,National,168
2013-2014 : Fall,Fatima College Of Health Sciences ,Female,Non-National,45
2014-2015 : Fall,Fatima College Of Health Sciences ,Female,National,119
2014-2015 : Fall,Fatima College Of Health Sciences ,Female,Non-National,10
2015-2016 : Spring,Fatima College Of Health Sciences ,Female,National,58
2016-2017 : Fall,Fatima College Of Health Sciences ,Female,National,269
2016-2017 : Fall,Fatima College Of Health Sciences ,Female,Non-National,50
2016-2017 : Spring,Fatima College Of Health Sciences ,Female,National,47
2016-2017 : Spring,Fatima College Of Health Sciences ,Female,Non-National,65
2017-2018 : Fall,Fatima College Of Health Sciences ,Female,National,187
2017-2018 : Fall,Fatima College Of Health Sciences ,Female,Non-National,206
2017-2018 : Spring,Fatima College Of Health Sciences ,Female,Non-National,35
2018-2019 : Fall,Fatima College Of Health Sciences ,Female,National,197
2018-2019 : Fall,Fatima College Of Health Sciences ,Female,Non-National,90
2018-2019 : Spring,Fatima College Of Health Sciences ,Female,National,57
2018-2019 : Spring,Fatima College Of Health Sciences ,Female,Non-National,23
2020-2021 : Spring,Fatima College Of Health Sciences ,Female,Non-National,10
2021-2022 : Fall,Fatima College Of Health Sciences ,Female,National,258
2021-2022 : Fall,Fatima College Of Health Sciences ,Female,Non-National,45
2022-2023 : Spring,Fatima College Of Health Sciences ,Female,National,82
2022-2023 : Spring,Fatima College Of Health Sciences ,Female,Non-National,15
2012-2013 : Fall,Gulf Medical University,Female,National,6
2012-2013 : Spring,Gulf Medical University,Female,National,1
2012-2013 : Spring,Gulf Medical University,Female,Non-National,6
2013-2014 : Fall,Gulf Medical University,Female,National,9
2013-2014 : Spring,Gulf Medical University,Female,National,2
2014-2015 : Fall,Gulf Medical University,Female,Non-National,164
2015-2016 : Spring,Gulf Medical University,Female,National,1
2015-2016 : Spring,Gulf Medical University,Female,Non-National,38
2017-2018 : Fall,Gulf Medical University,Female,National,16
2018-2019 : Fall,Gulf Medical University,Female,National,20
2018-2019 : Fall,Gulf Medical University,Female,Non-National,226
2019-2020 : Fall,Gulf Medical University,Female,National,71
2019-2020 Full year courses,Gulf Medical University,Female,Non-National,92
2020-2021 : Fall,Gulf Medical University,Female,National,64
2020-2021 Full year courses,Gulf Medical University,Female,National,6
2020-2021 Full year courses,Gulf Medical University,Female,Non-National,99
2021-2022 : Fall,Gulf Medical University,Female,Non-National,310
2021-2022 : Spring,Gulf Medical University,Female,National,1
2021-2022 : Spring,Gulf Medical University,Female,Non-National,17
2021-2022 Full year courses,Gulf Medical University,Female,National,6
2021-2022 Full year courses,Gulf Medical University,Female,Non-National,83
2022-2023 : Fall,Gulf Medical University,Female,National,24
2012-2013 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,67
2012-2013 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,22
2013-2014 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,20
2013-2014 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,41
2014-2015 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,35
2015-2016 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,23
2016-2017 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,118
2016-2017 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,32
2016-2017 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,85
2016-2017 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,29
2017-2018 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,88
2017-2018 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,40
2017-2018 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,17
2018-2019 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,102
2018-2019 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,55
2018-2019 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,22
2019-2020 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,80
2020-2021 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,37
2021-2022 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,130
2021-2022 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,34
2021-2022 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,81
2022-2023 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,140
2022-2023 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,139
2022-2023 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,23
2012-2013 : Spring,Higher Colleges of Technology,Female,National,1110
2013-2014 : Fall,Higher Colleges of Technology,Female,National,2932
2014-2015 : Fall,Higher Colleges of Technology,Female,National,3597
2014-2015 : Fall,Higher Colleges of Technology,Female,Non-National,9
2016-2017 : Fall,Higher Colleges of Technology,Female,National,3556
2016-2017 : Fall,Higher Colleges of Technology,Female,Non-National,1
2016-2017 : Spring,Higher Colleges of Technology,Female,National,475
2017-2018 : Spring,Higher Colleges of Technology,Female,National,646
2017-2018 : Spring,Higher Colleges of Technology,Female,Non-National,4
2018-2019 : Fall,Higher Colleges of Technology,Female,National,2985
2018-2019 : Summer 1,Higher Colleges of Technology,Female,National,149
2020-2021 : Spring,Higher Colleges of Technology,Female,National,1199
2020-2021 : Spring,Higher Colleges of Technology,Female,Non-National,89
2021-2022 : Fall,Higher Colleges of Technology,Female,National,2130
2021-2022 : Fall,Higher Colleges of Technology,Female,Non-National,98
2021-2022 : Spring,Higher Colleges of Technology,Female,Non-National,47
2022-2023 : Spring,Higher Colleges of Technology,Female,Non-National,66
2012-2013 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,18
2013-2014 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,National,26
2013-2014 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,28
2013-2014 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,11
2014-2015 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,National,25
2014-2015 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,14
2014-2015 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,13
2015-2016 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,20
2014-2015 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,101
2014-2015 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,59
2014-2015 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,18
2015-2016 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,64
2015-2016 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,27
2015-2016 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,69
2017-2018 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,69
2018-2019 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,63
2019-2020 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,45
2019-2020 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,54
2019-2020 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,13
2020-2021 : Fall,Hamdan Bin Mohammed Smart University ,Female,National,287
2020-2021 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,53
2020-2021 : Spring,Hamdan Bin Mohammed Smart University ,Female,National,86
2021-2022 : Spring,Hamdan Bin Mohammed Smart University ,Female,Non-National,24
2022-2023 : Fall,Hamdan Bin Mohammed Smart University ,Female,Non-National,45
2012-2013 : Fall,Higher Colleges of Technology,Female,National,2167
2012-2013 : Fall,Higher Colleges of Technology,Female,Non-National,8
2013-2014 : Spring,Higher Colleges of Technology,Female,National,590
2013-2014 : Spring,Higher Colleges of Technology,Female,Non-National,144
2014-2015 : Spring,Higher Colleges of Technology,Female,National,525
2014-2015 : Spring,Higher Colleges of Technology,Female,Non-National,38
2015-2016 : Fall,Higher Colleges of Technology,Female,National,2945
2015-2016 : Fall,Higher Colleges of Technology,Female,Non-National,83
2015-2016 : Spring,Higher Colleges of Technology,Female,National,668
2015-2016 : Spring,Higher Colleges of Technology,Female,Non-National,15
2017-2018 : Fall,Higher Colleges of Technology,Female,National,2228
2017-2018 : Fall,Higher Colleges of Technology,Female,Non-National,219
2017-2018 : Summer 1,Higher Colleges of Technology,Female,National,122
2018-2019 : Fall,Higher Colleges of Technology,Female,Non-National,1
2018-2019 : Spring,Higher Colleges of Technology,Female,National,459
2019-2020 : Fall,Higher Colleges of Technology,Female,National,4540
2019-2020 : Fall,Higher Colleges of Technology,Female,Non-National,23
2019-2020 : Spring,Higher Colleges of Technology,Female,National,557
2020-2021 : Fall,Higher Colleges of Technology,Female,National,2957
2020-2021 : Fall,Higher Colleges of Technology,Female,Non-National,2
2021-2022 : Spring,Higher Colleges of Technology,Female,National,1193
2022-2023 : Fall,Higher Colleges of Technology,Female,National,4053
2022-2023 : Fall,Higher Colleges of Technology,Female,Non-National,168
2022-2023 : Spring,Higher Colleges of Technology,Female,National,1214
2012-2013 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,National,22
2012-2013 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,18
2012-2013 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,17
2013-2014 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,20
2014-2015 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,13
2015-2016 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,National,16
2015-2016 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,24
2016-2017 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,National,54
2017-2018 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,31
2017-2018 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,16
2017-2018 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,13
2019-2020 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,17
2019-2020 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,8
2020-2021 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,18
2020-2021 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,13
2020-2021 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,15
2021-2022 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,National,22
2022-2023 : Fall,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,15
2022-2023 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,National,18
2022-2023 : Spring,Imam Malik College for Islamic Sharia' and Law,Female,Non-National,6
2015-2016 : Fall,INSEAD- The Business School for the World,Female,Non-National,7
2013-2014 : Fall,Institute of Management Technology,Female,National,2
2014-2015 : Fall,Institute of Management Technology,Female,National,6
2014-2015 : Fall,Institute of Management Technology,Female,Non-National,43
2015-2016 : Fall,Institute of Management Technology,Female,Non-National,29
2016-2017 : Fall,Institute of Management Technology,Female,National,17
