Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2018-2019,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,173
2018-2019,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,908
2018-2019,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,42
2018-2019,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,186
2018-2019,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,18
2018-2019,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,51
2018-2019,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,31
2018-2019,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,52
2018-2019,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,45
2018-2019,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,54
2018-2019,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,75
2018-2019,EMIRATES COLLEGE FOR MANAGEMENT AND INFORMATION TECHNOLOGY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,26
2018-2019,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2018-2019,EUROPEAN INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,11
2018-2019,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,33
2018-2019,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,63
2018-2019,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,8
2018-2019,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,190
2018-2019,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Admin,إداري,220
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,NULL,NULL,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,194
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,447
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,132
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,68
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,139
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,81
2018-2019,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,58
2018-2019,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,40
2018-2019,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,34
2018-2019,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,814
2018-2019,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,109
2018-2019,MENA COLLEGE OF MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,26
2018-2019,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,34
2018-2019,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,14
2018-2019,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,84
2018-2019,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,125
2018-2019,NEW YORK INSTITUTE OF TECHNOLOGY,أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,8
2018-2019,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,932
2018-2019,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,97
2018-2019,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,146
2018-2019,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,9
2018-2019,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Admin,إداري,95
2018-2019,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,88
2018-2019,SYSCOMS COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,17
2018-2019,THE COLLEGE OF FASHION AND DESIGN,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,12
2018-2019,THE COLLEGE OF FASHION AND DESIGN,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,16
2018-2019,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Admin,إداري,43
2018-2019,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1696
2018-2019,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,23
2018-2019,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,23
2018-2019,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,66
2018-2019,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Admin,إداري,2
