Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,98.61%,144
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,97.61%,836
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,98.35%,121
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,741
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,41
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,729
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,39
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,718
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,34
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,648
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,34
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,672
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,46
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,99.69%,637
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,37
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,598
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,46
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,670
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,41
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,97.29%,628
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,90.24%,41
