Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,98.59%,71
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Expat,98.08%,1095
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,94.59%,37
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Expat,97.34%,1089
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,100.00%,64
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Expat,98.83%,1198
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,100.00%,27
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Expat,99.71%,1037
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,100.00%,56
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Expat,99.53%,1069
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,100.00%,35
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Expat,99.26%,1087
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,97.73%,88
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Expat,99.01%,1116
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,100.00%,25
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Expat,98.73%,1025
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,98.53%,68
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Expat,99.13%,1031
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,66.67%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Expat,94.83%,58
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Expat,98.41%,63
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Expat,97.37%,38
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Expat,97.73%,44
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Expat,98.00%,50
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Expat,98.46%,65
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Expat,100.00%,30
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,5
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Expat,100.00%,49
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,0.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Expat,94.74%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,100.00%,12
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Expat,95.24%,42
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Expat,100.00%,31
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,100.00%,13
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Expat,100.00%,14
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Expat,100.00%,20
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,92.00%,25
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Expat,90.00%,20
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,100.00%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Expat,100.00%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,94.74%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Expat,92.31%,13
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Expat,88.89%,36
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,100.00%,17
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Expat,91.43%,35
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Expat,100.00%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,100.00%,8
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Expat,100.00%,45
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Expat,95.83%,24
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,94.44%,18
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Expat,94.12%,51
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Expat,97.06%,34
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,100.00%,6
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Expat,97.56%,41
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,18
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Expat,99.79%,485
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,14
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Expat,99.56%,457
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,10
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Expat,99.78%,446
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,25
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Expat,100.00%,431
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,8
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Expat,100.00%,432
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Expat,100.00%,481
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,14
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Expat,100.00%,403
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Expat,99.76%,415
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,92.59%,27
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Expat,98.73%,395
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,94.25%,87
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Expat,97.69%,477
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,100.00%,80
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Expat,100.00%,464
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,100.00%,223
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Expat,100.00%,528
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,100.00%,53
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Expat,99.56%,451
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,97.78%,135
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Expat,99.62%,521
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,97.30%,37
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Expat,99.36%,471
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,98.11%,106
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Expat,99.05%,528
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,100.00%,29
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Expat,99.22%,385
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,97.01%,67
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Expat,99.59%,485
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,100.00%,17
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Expat,99.73%,371
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,96.97%,33
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Expat,99.53%,426
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,100.00%,27
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Expat,99.72%,353
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,100.00%,65
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Expat,99.28%,414
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,100.00%,19
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Expat,99.24%,396
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,100.00%,69
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Expat,100.00%,368
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Expat,96.49%,114
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Expat,96.03%,126
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Expat,97.41%,116
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Expat,97.39%,115
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Expat,95.00%,120
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,4
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Expat,99.07%,107
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Expat,95.00%,100
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Expat,99.09%,110
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Expat,97.10%,69
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,66.67%,3
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Expat,94.34%,106
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Expat,100.00%,76
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Expat,100.00%,70
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,50.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Expat,100.00%,67
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Expat,97.40%,77
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Expat,96.88%,64
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,0.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Expat,94.81%,77
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Expat,100.00%,64
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,100.00%,1
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Expat,96.39%,83
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,50.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Expat,96.70%,91
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,100.00%,5
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Expat,95.88%,97
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Expat,97.40%,77
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Expat,97.94%,97
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Expat,97.50%,80
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,100.00%,2
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Expat,94.25%,87
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,41
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Expat,99.74%,1150
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,98.33%,60
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Expat,99.38%,1138
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,62
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Expat,99.80%,979
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,50
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Expat,100.00%,995
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,44
2020-2021,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Expat,99.80%,1011
