"Female","Total","Total","1,826","1,966","2,045"
"Total","Intellectual - Down Syndrome","0 to 5 Years","43","48","-"
"Total","Autism","Total","1,667","1,911","-"
"Total","Physical Disability","16 to 20 Years","16","15","-"
"Total","Developmental Delay","6 to 10 Years","1","21","-"
"Male","Intellectual - Others","6 to 10 Years","230","181","-"
"Male","Intellectual - Others","11 to 15 Years","276","169","-"
"Male","Hearing Disability","Total","106","99","86"
"Male","Physical Disability","6 to 10 Years","18","30","12"
"Male","Multi - Disability","Total","404","404","513"
"Male","Developmental Delay","0 to 5 Years","106","134","88"
"Male","Communication Disorder","16 to 20 Years","0","-","1"
"Female","Intellectual - Down Syndrome","0 to 5 Years","19","20","-"
"Female","Intellectual - Others","21 Years and above","246","267","-"
"Female","Hearing Disability","6 to 10 Years","21","17","15"
"Female","Multi - Disability","6 to 10 Years","78","81","100"
"Female","Neurodevelopmental Disorder (ADHD)","0 to 5 Years","1","0","-"
"Total","Intellectual - Others","11 to 15 Years","469","290","-"
"Total","Communication Disorder","21 Years and above","0","-","-"
"Total","Neurodevelopmental Disorder (ADHD)","0 to 5 Years","3","0","-"
"Total","Neurodevelopmental Disorder (ADHD)","6 to 10 Years","0","0","-"
"Male","Intellectual - Down Syndrome","Total","156","524","-"
"Male","Intellectual - Others","0 to 5 Years","142","89","-"
"Male","Autism","16 to 20 Years","145","176","240"
"Male","Physical Disability","0 to 5 Years","21","22","7"
"Male","Visual Disability","16 to 20 Years","0","0","0"
"Male","Neurodevelopmental Disorder (ADHD)","Total","3","0","-"
"Male","Learning Difficulties","Total","-","-","1"
"Female","Physical Disability","16 to 20 Years","4","2","4"
"Female","Developmental Delay","16 to 20 Years","0","0","0"
"Female","Neurodevelopmental Disorder (ADHD)","11 to 15 Years","1","0","-"
"Total","Intellectual - Down Syndrome","6 to 10 Years","65","218","-"
"Total","Communication Disorder","16 to 20 Years","0","-","-"
"Male","Intellectual - Others","16 to 20 Years","245","173","-"
"Male","Autism","Total","1,327","1,512","1,792"
"Male","Physical Disability","11 to 15 Years","17","17","10"
"Male","Physical Disability","16 to 20 Years","12","13","5"
"Female","Intellectual - Down Syndrome","11 to 15 Years","34","107","-"
"Female","Intellectual - Others","11 to 15 Years","193","121","-"
"Female","Intellectual - Others","16 to 20 Years","161","125","-"
"Female","Autism","Total","340","399","465"
"Female","Visual Disability","Total","15","7","5"
"Female","Communication Disorder","21 Years and above","0","-","0"
"Total","Hearing Disability","6 to 10 Years","40","38","-"
"Total","Multi - Disability","6 to 10 Years","196","189","-"
"Total","Developmental Delay","11 to 15 Years","0","0","-"
"Total","Communication Disorder","11 to 15 Years","1","-","-"
"Total","Total","21 Years and above","875","1,079","1,489"
"Male","Autism","11 to 15 Years","378","551","521"
"Male","Visual Disability","11 to 15 Years","0","0","0"
"Male","Visual Disability","Total","11","12","3"
"Male","Developmental Delay","11 to 15 Years","0","0","0"
"Male","Developmental Delay","Total","106","147","107"
"Male","Communication Disorder","0 to 5 Years","5","-","3"
"Male","Communication Disorder","21 Years and above","0","-","0"
"Female","Autism","6 to 10 Years","161","168","191"
"Female","Physical Disability","11 to 15 Years","9","12","7"
"Female","Physical Disability","Total","60","64","33"
"Female","Visual Disability","0 to 5 Years","4","2","1"
"Female","Visual Disability","21 Years and above","4","3","3"
"Total","Intellectual - Others","6 to 10 Years","413","291","-"
"Total","Physical Disability","6 to 10 Years","35","48","-"
"Total","Developmental Delay","16 to 20 Years","0","0","-"
"Male","Total","11 to 15 Years","873","1,020","922"
"Male","Total","Total","3,468","3,787","4,105"
"Female","Intellectual - Others","6 to 10 Years","183","110","-"
"Female","Autism","0 to 5 Years","59","45","39"
"Female","Autism","21 Years and above","5","9","55"
"Female","Visual Disability","6 to 10 Years","3","1","0"
"Female","Communication Disorder","16 to 20 Years","0","-","0"
"Male","Total","0 to 5 Years","577","474","432"
"Female","Intellectual - Down Syndrome","21 Years and above","12","55","-"
"Female","Neurodevelopmental Disorder (ADHD)","21 Years and above","0","0","-"
"Female","Learning Difficulties","0 to 5 Years","-","-","0"
"Total","Neurodevelopmental Disorder (ADHD)","16 to 20 Years","0","1","-"
"Total","Total","11 to 15 Years","1,299","1,488","1,353"
"Total","Total","Total","5,294","5,753","6,150"
"Male","Communication Disorder","11 to 15 Years","1","-","1"
"Male","Communication Disorder","Total","6","-","7"
"Male","Total","21 Years and above","535","670","933"
"Female","Developmental Delay","6 to 10 Years","1","8","2"
"Female","Communication Disorder","6 to 10 Years","0","-","0"
"Female","Total","16 to 20 Years","278","330","313"
"Total","Intellectual - Down Syndrome","16 to 20 Years","52","230","-"
"Total","Intellectual - Others","16 to 20 Years","406","298","-"
"Total","Autism","16 to 20 Years","170","217","-"
"Total","Hearing Disability","16 to 20 Years","39","46","-"
"Total","Visual Disability","16 to 20 Years","4","0","-"
"Female","Learning Difficulties","11 to 15 Years","-","-","0"
"Female","Intellectual","6 to 10 Years","-","-","202"
"Female","Learning Difficulties","6 to 10 Years","-","-","0"
"Male","Intellectual","0 to 5 Years","-","-","160"
"Male","Learning Difficulties","21 Years and above","-","-","1"
"Male","Learning Difficulties","16 to 20 Years","-","-","0"
"Female","Intellectual","0 to 5 Years","-","-","111"
"Female","Learning Difficulties","16 to 20 Years","-","-","0"
"Female","Intellectual","Total","-","-","1,106"
"Female","Learning Difficulties","21 Years and above","-","-","0"
"Female","Intellectual","16 to 20 Years","-","-","199"
"Male","Learning Difficulties","11 to 15 Years","-","-","0"
"Male","Intellectual","16 to 20 Years","-","-","312"
"Female","Intellectual","11 to 15 Years","-","-","209"
"Male","Intellectual","6 to 10 Years","-","-","294"
"Male","Intellectual","21 Years and above","-","-","524"
"Male","Intellectual","11 to 15 Years","-","-","265"
"Male","Learning Difficulties","6 to 10 Years","-","-","0"
"Male","Intellectual","Total","-","-","1,555"
"Female","Intellectual","21 Years and above","-","-","385"
