STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,People of Determination,CEN_TYPE,Sector,GENDER,Gender,CITIZENSHIP,Nationality,DIS_TYPE,Disability Type,AGE_GRP,Age Group,QUAL,Qualification,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,4,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,12,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,1440,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,563,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,817,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,927,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,400,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,177,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,508,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,615,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,553,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,639,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,1004,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,1471,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,1060,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,821,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,939,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,884,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,255,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,1165,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,1366,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,173,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,4,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,187,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,174,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,2587,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,2845,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,2949,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,3680,,,,,,,
